0,3619.75,3.214
2,3602.5,3.208
4,3488.4,3.178
6,3196.9,3.122
8,3000.9,3.06
10,2863.73,3.068
12,2545.55,2.845
14,2406.89,2.874
16,2078.44,2.843
18,1984.44,2.786
20,1772.11,2.715
22,1584.67,2.712
24,1467.54,2.665
26,1463.31,2.619
28,1286,2.56
30,1224.8,2.689
32,1115.56,2.495
34,1134,2.512
36,1087.33,2.495
38,950,2.456
40,993.6,2.47
