0,3605.909091,3605.863636,3606.727273
2,3581.545455,3589.681818,3590.113636
4,3543.477273,3503.477273,3487.045455
6,3381.568182,3405.590909,3380.590909
8,3235.363636,3253.545455,3237.409091
10,3131.636364,2940.295455,3290.568182
12,2777,2900.522727,3038.477273
14,2853.431818,3016.863636,2781.840909
16,2790.340909,2603.181818,2673.090909
18,2600.25,2339.090909,2461.659091
20,1981.25,2292.136364,2115.795455
22,2287.818182,1856.977273,2282.386364
24,1871.340909,1993.840909,1813.204545
26,1954.931818,1614.75,1804.954545
28,1705.568182,1499.227273,1580.977273
30,1396.272727,1488.772727,1310.068182
32,1424.022727,1309.431818,1200.227273
34,1052.181818,1211.5,1188.181818
36,1022.340909,1106.545455,1118.636364
38,960.8181818,915.2954545,1090.318182
40,893.3636364,918.6136364,1022.818182
